Year,Product,Unit,Species,Average,Min,Max,Num_Reports,Prior_Year_Avg
2000,BOLTWOOD,cord,WHITE BIRCH,61.0,30.0,75.0,9.0,
2000,FIREWOOD,cord,ALL SPECIES,11.0,6.0,20.0,28.0,
2000,PALLETWOOD,MBF,ALL SPECIES,46.0,20.0,110.0,76.0,
2000,PULPWOOD,cord,ASPEN/POPLAR,9.0,4.05,15.0,25.0,
2000,PULPWOOD,cord,HEMLOCK,11.0,3.6,18.0,26.0,
2000,PULPWOOD,cord,OTHER SOFTWOODS,5.0,1.15,12.42,9.0,
2000,PULPWOOD,cord,MIXED HARDWOOD,9.0,1.25,21.25,46.0,
2000,PULPWOOD,cord,SPRUCE & FIR,13.0,9.0,17.01,7.0,
2000,PULPWOOD,cord,WHITE PINE,3.0,1.5,16.13,52.0,
2000,SAWLOG,MBF,ASH,92.0,35.0,170.0,17.0,
2000,SAWLOG,MBF,ASPEN/POPLAR,43.0,20.0,50.0,9.0,
2000,SAWLOG,MBF,BEECH,42.0,40.0,55.0,5.0,
2000,SAWLOG,MBF,HEMLOCK,55.0,35.0,90.0,29.0,
2000,SAWLOG,MBF,MIXED HARDWOOD,94.0,20.0,251.27,8.0,
2000,SAWLOG,MBF,MIXED HARDWOOD,31.0,25.0,50.0,4.0,
2000,SAWLOG,MBF,RED OAK,251.0,35.0,430.0,36.0,
2000,SAWLOG,MBF,RED PINE,41.0,25.0,145.0,9.0,
2000,SAWLOG,MBF,RED/WHITE MAPLE,69.0,30.0,185.0,23.0,
2000,SAWLOG,MBF,SPRUCE & FIR,130.0,53.0,190.0,23.0,
2000,SAWLOG,MBF,SUGAR MAPLE,198.0,55.0,344.33,14.0,
2000,SAWLOG,MBF,WHITE BIRCH,125.0,50.0,230.0,25.0,
2000,SAWLOG,MBF,WHITE OAK,154.0,75.0,325.0,4.0,
2000,SAWLOG,MBF,WHITE PINE,156.0,25.0,250.0,66.0,
2000,SAWLOG,MBF,YELLOW BIRCH,92.0,45.0,190.0,8.0,
2000,VENEER,MBF,ASPEN/POPLAR,73.0,60.0,100.0,6.0,
2000,VENEER,MBF,RED OAK,517.0,80.0,1206.0,22.0,
2001,BOLTWOOD,cord,WHITE BIRCH,45.0,35.0,60.0,7.0,
2001,FIREWOOD,cord,ALL SPECIES,10.0,7.0,16.0,25.0,
2001,PALLETWOOD,MBF,ALL SPECIES,50.0,15.0,88.26,51.0,
2001,PULPWOOD,cord,ASPEN/POPLAR,8.0,4.81,15.0,15.0,
2001,PULPWOOD,cord,HEMLOCK,10.0,6.0,20.0,21.0,
2001,PULPWOOD,cord,MIXED HARDWOOD,9.0,2.5,13.83,36.0,
2001,PULPWOOD,cord,SPRUCE & FIR,10.0,7.35,16.0,8.0,
2001,PULPWOOD,cord,WHITE PINE,7.0,2.15,29.0,38.0,
2001,SAWLOG,MBF,ASH,133.0,61.16,150.0,9.0,
2001,SAWLOG,MBF,ASPEN/POPLAR,33.0,30.0,65.0,5.0,
2001,SAWLOG,MBF,HEMLOCK,55.0,35.0,80.0,13.0,
2001,SAWLOG,MBF,MIXED HARDWOOD,144.0,50.0,240.0,12.0,
2001,SAWLOG,MBF,RED OAK,268.0,75.0,426.31,22.0,
2001,SAWLOG,MBF,RED/WHITE MAPLE,81.0,45.0,250.0,13.0,
2001,SAWLOG,MBF,SPRUCE & FIR,110.0,75.0,150.0,11.0,
2001,SAWLOG,MBF,SUGAR MAPLE,98.0,25.0,390.0,6.0,
2001,SAWLOG,MBF,WHITE BIRCH,115.0,25.0,375.14,10.0,
2001,SAWLOG,MBF,WHITE PINE,147.0,25.0,210.0,42.0,
2001,VENEER,MBF,RED OAK,712.0,375.0,790.64,7.0,
2002,BIOMASS,ton,ALL SPECIES,1.0,1.0,1.0,4.0,
2002,VENEER,MBF,RED OAK,676.0,275.0,800.0,15.0,
2002,BOLTWOOD,cord,WHITE BIRCH,32.0,20.0,60.0,7.0,
2002,FIREWOOD,cord,ALL SPECIES,11.0,10.0,12.0,12.0,
2002,PALLETWOOD,MBF,ALL SPECIES,38.0,12.0,70.0,63.0,
2002,PULPWOOD,cord,ASPEN/POPLAR,8.0,1.8,20.0,22.0,
2002,PULPWOOD,cord,HEMLOCK,10.0,2.4,15.6,32.0,
2002,PULPWOOD,cord,MIXED HARDWOOD,9.0,2.5,15.0,40.0,
2002,PULPWOOD,cord,MIXED HARDWOOD,8.0,5.4,18.9,5.0,
2002,PULPWOOD,cord,OTHER SOFTWOODS,8.0,5.0,13.8,5.0,
2002,PULPWOOD,cord,SPRUCE & FIR,11.0,2.1,15.23,13.0,
2002,PULPWOOD,cord,WHITE PINE,6.0,2.15,10.75,43.0,
2002,SAWLOG,MBF,ASH,126.0,75.0,169.09,9.0,
2002,SAWLOG,MBF,ASPEN/POPLAR,53.0,35.0,75.0,8.0,
2002,SAWLOG,MBF,HEMLOCK,52.0,35.0,70.0,21.0,
2002,SAWLOG,MBF,MIXED HARDWOOD,184.0,30.0,342.0,9.0,
2002,SAWLOG,MBF,RED OAK,324.0,30.0,450.0,23.0,
2002,SAWLOG,MBF,RED/WHITE MAPLE,79.0,47.0,143.0,15.0,
2002,SAWLOG,MBF,SPRUCE & FIR,96.0,35.0,140.0,17.0,
2002,SAWLOG,MBF,SUGAR MAPLE,123.0,30.0,320.0,13.0,
2002,SAWLOG,MBF,WHITE BIRCH,136.0,70.0,210.0,15.0,
2002,SAWLOG,MBF,WHITE PINE,143.0,70.0,235.0,49.0,
2002,SAWLOG,MBF,YELLOW BIRCH,95.0,20.0,220.0,17.0,
2003,BIOMASS,ton,ALL SPECIES,1.0,0.14,6.0,186.0,
2003,SAWLOG,MBF,ASH,123.0,25.0,300.0,254.0,
2003,SAWLOG,MBF,ASPEN/POPLAR,53.0,5.0,155.0,143.0,
2003,SAWLOG,MBF,BEECH,65.0,20.0,160.0,78.0,
2003,SAWLOG,MBF,CEDAR,65.0,14.55,125.0,46.0,
2003,SAWLOG,MBF,HEMLOCK,56.0,11.0,140.0,318.0,
2003,SAWLOG,MBF,MIXED HARDWOOD,180.0,4.0,655.0,195.0,
2003,SAWLOG,MBF,MIXED HARDWOOD,80.0,20.0,150.0,12.0,
2003,SAWLOG,MBF,OTHER SOFTWOODS,75.0,12.19,150.0,24.0,
2003,SAWLOG,MBF,MIXED HARDWOOD,117.0,22.0,575.0,69.0,
2003,SAWLOG,MBF,OTHER SOFTWOODS,88.0,15.0,200.0,16.0,
2003,SAWLOG,MBF,RED OAK,265.0,30.0,900.0,365.0,
2003,SAWLOG,MBF,RED PINE,92.0,20.0,200.0,93.0,
2003,SAWLOG,MBF,RED/WHITE MAPLE,103.0,25.0,340.0,326.0,
2003,SAWLOG,MBF,SPRUCE & FIR,113.0,35.0,200.0,485.0,
2003,SAWLOG,MBF,SUGAR MAPLE,232.0,25.0,1100.0,293.0,
2003,SAWLOG,MBF,WHITE BIRCH,127.0,20.0,386.0,315.0,
2003,SAWLOG,MBF,WHITE OAK,248.0,20.0,620.0,55.0,
2003,SAWLOG,MBF,WHITE PINE,156.0,15.0,420.0,845.0,
2003,SAWLOG,MBF,YELLOW BIRCH,153.0,20.0,470.0,253.0,
2003,BOLTWOOD,cord,ASH,58.0,12.0,120.0,7.0,
2003,BOLTWOOD,cord,ASPEN/POPLAR,12.0,10.0,18.0,9.0,
2003,BOLTWOOD,cord,CEDAR,24.0,12.0,50.0,18.0,
2003,BOLTWOOD,cord,MIXED HARDWOOD,27.0,9.0,45.0,7.0,
2003,BOLTWOOD,cord,MIXED HARDWOOD,9.0,3.0,15.0,4.0,
2003,BOLTWOOD,cord,RED OAK,59.0,25.0,65.0,6.0,
2003,BOLTWOOD,cord,RED/WHITE MAPLE,41.0,32.5,50.0,5.0,
2003,BOLTWOOD,cord,SUGAR MAPLE,55.0,15.0,95.0,9.0,
2003,BOLTWOOD,cord,WHITE BIRCH,52.0,6.0,125.0,122.0,
2003,BOLTWOOD,cord,YELLOW BIRCH,40.0,22.5,75.0,16.0,
2003,FIREWOOD,cord,ALL SPECIES,12.0,1.0,40.0,368.0,
2003,PALLETWOOD,MBF,ALL SPECIES,51.0,5.0,147.0,656.0,
2003,STUDWOOD,ton,ALL SPECIES,17.0,0.4,57.0,265.0,
2003,PULPWOOD,cord,ASPEN/POPLAR,12.0,1.8,38.0,358.0,
2003,PULPWOOD,cord,CEDAR,16.0,3.98,40.0,68.0,
2003,PULPWOOD,cord,HEMLOCK,11.0,1.2,34.0,383.0,
2003,PULPWOOD,cord,MIXED HARDWOOD,11.0,1.0,40.0,724.0,
2003,PULPWOOD,cord,MIXED HARDWOOD,15.0,2.7,43.0,31.0,
2003,PULPWOOD,cord,OTHER SOFTWOODS,11.0,1.15,28.0,87.0,
2003,PULPWOOD,cord,OTHER SOFTWOODS,11.0,2.15,30.0,21.0,
2003,PULPWOOD,cord,RED PINE,10.0,4.3,22.0,19.0,
2003,PULPWOOD,cord,SPRUCE & FIR,16.0,0.53,54.0,519.0,
2003,PULPWOOD,cord,WHITE PINE,6.0,0.52,41.0,515.0,
2003,VENEER,MBF,ASH,255.0,150.0,450.0,15.0,
2003,VENEER,MBF,ASPEN/POPLAR,100.0,15.0,375.0,74.0,
2003,VENEER,MBF,MIXED HARDWOOD,494.0,147.58,873.0,19.0,
2003,VENEER,MBF,RED OAK,541.0,60.0,1150.0,173.0,
2003,VENEER,MBF,RED/WHITE MAPLE,197.0,40.0,600.0,28.0,
2003,VENEER,MBF,SUGAR MAPLE,677.0,160.0,2480.0,79.0,
2003,VENEER,MBF,WHITE BIRCH,460.0,80.0,1000.0,87.0,
2003,VENEER,MBF,WHITE OAK,550.0,100.0,850.0,13.0,
2003,VENEER,MBF,YELLOW BIRCH,600.0,110.0,1350.0,94.0,
2004,BIOMASS,ton,ALL SPECIES,1.36,0.11,6.0,214.0,
2004,SAWLOG,MBF,ASH,118.0,10.0,350.0,269.0,
2004,SAWLOG,MBF,ASPEN/POPLAR,67.0,10.0,166.0,116.0,
2004,SAWLOG,MBF,BEECH,90.0,25.0,175.0,70.0,
2004,SAWLOG,MBF,CEDAR,61.0,10.0,135.0,51.0,
2004,SAWLOG,MBF,HEMLOCK,63.0,10.0,160.0,311.0,
2004,SAWLOG,MBF,MIXED HARDWOOD,198.0,10.0,581.0,193.0,
2004,SAWLOG,MBF,MIXED HARDWOOD,119.0,40.0,325.0,19.0,
2004,SAWLOG,MBF,OTHER SOFTWOODS,110.0,10.0,280.0,11.0,
2004,SAWLOG,MBF,MIXED HARDWOOD,165.0,15.0,666.0,77.0,
2004,SAWLOG,MBF,OTHER SOFTWOODS,86.0,25.0,160.0,22.0,
2004,SAWLOG,MBF,RED OAK,304.0,35.0,780.0,386.0,
2004,SAWLOG,MBF,RED PINE,71.0,15.0,300.0,92.0,
2004,SAWLOG,MBF,RED/WHITE MAPLE,121.0,15.0,450.0,345.0,
2004,SAWLOG,MBF,SPRUCE & FIR,129.0,4.0,290.0,541.0,
2004,SAWLOG,MBF,SUGAR MAPLE,247.0,24.0,550.0,298.0,
2004,SAWLOG,MBF,WHITE BIRCH,129.0,20.0,900.0,332.0,
2004,SAWLOG,MBF,WHITE OAK,181.0,4.0,450.0,46.0,
2004,SAWLOG,MBF,WHITE PINE,170.0,15.0,450.0,870.0,
2004,SAWLOG,MBF,YELLOW BIRCH,185.0,15.0,475.0,251.0,
2004,BOLTWOOD,MBF,ASH,86.0,40.0,140.0,6.0,
2004,BOLTWOOD,MBF,BEECH,75.0,50.0,100.0,6.0,
2004,BOLTWOOD,MBF,CEDAR,39.0,24.0,120.0,12.0,
2004,BOLTWOOD,MBF,RED OAK,61.0,20.0,92.0,4.0,
2004,BOLTWOOD,MBF,SUGAR MAPLE,114.0,36.0,250.0,14.0,
2004,BOLTWOOD,MBF,WHITE BIRCH,124.0,24.0,270.0,122.0,
2004,BOLTWOOD,MBF,YELLOW BIRCH,89.0,40.0,158.0,15.0,
2004,FIREWOOD,cord,ALL SPECIES,15.0,1.0,43.0,344.0,
2004,PALLETWOOD,MBF,ALL SPECIES,53.0,4.0,180.0,692.0,
2004,PULPWOOD,ton,ASPEN/POPLAR,9.0,1.0,27.0,456.0,
2004,PULPWOOD,ton,CEDAR,11.0,4.0,21.0,99.0,
2004,PULPWOOD,ton,HEMLOCK,5.0,0.0,17.0,430.0,
2004,PULPWOOD,ton,MIXED HARDWOOD,6.0,1.0,19.0,888.0,
2004,PULPWOOD,ton,MIXED HARDWOOD,5.0,1.0,14.0,32.0,
2004,PULPWOOD,ton,OTHER SOFTWOODS,6.0,1.0,21.0,102.0,
2004,PULPWOOD,ton,OTHER SOFTWOODS,6.0,1.0,13.0,29.0,
2004,PULPWOOD,ton,RED PINE,4.0,1.0,9.0,14.0,
2004,PULPWOOD,ton,SPRUCE & FIR,10.0,1.0,31.0,560.0,
2004,PULPWOOD,ton,WHITE PINE,4.0,0.0,16.0,605.0,
2004,STUDWOOD,ton,ALL SPECIES,22.0,2.0,75.0,282.0,
2004,STUDWOOD,ton,ASH,221.0,40.0,400.0,15.0,
2004,STUDWOOD,ton,ASPEN/POPLAR,78.0,40.0,150.0,63.0,
2004,STUDWOOD,ton,MIXED HARDWOOD,301.0,80.0,648.0,16.0,
2004,STUDWOOD,ton,MIXED HARDWOOD,267.0,70.0,500.0,8.0,
2004,STUDWOOD,ton,RED OAK,571.0,120.0,2075.0,176.0,
2004,STUDWOOD,ton,RED/WHITE MAPLE,341.0,60.0,800.0,28.0,
2004,STUDWOOD,ton,SUGAR MAPLE,562.0,100.0,2000.0,72.0,
2004,STUDWOOD,ton,WHITE BIRCH,470.0,95.0,1000.0,88.0,
2004,STUDWOOD,ton,WHITE OAK,407.0,288.0,500.0,5.0,
2004,STUDWOOD,ton,YELLOW BIRCH,519.0,125.0,1363.0,87.0,
2005,BIOMASS,ton,ALL SPECIES,1.7,0.16,8.5,287.0,
2005,SAWLOG,MBF,ASH,129.0,20.0,390.0,298.0,
2005,SAWLOG,MBF,ASPEN/POPLAR,83.0,23.0,137.0,107.0,
2005,SAWLOG,MBF,BEECH,81.0,22.0,175.0,107.0,
2005,SAWLOG,MBF,CEDAR,80.0,20.0,150.0,48.0,
2005,SAWLOG,MBF,HEMLOCK,62.0,20.0,200.0,341.0,
2005,SAWLOG,MBF,RED OAK,285.0,35.0,725.0,338.0,
2005,SAWLOG,MBF,RED PINE,74.0,20.0,150.0,113.0,
2005,SAWLOG,MBF,RED/WHITE MAPLE,117.0,25.0,342.0,358.0,
2005,SAWLOG,MBF,SPRUCE & FIR,161.0,21.0,275.0,570.0,
2005,SAWLOG,MBF,SUGAR MAPLE,287.0,25.0,658.0,291.0,
2005,SAWLOG,MBF,WHITE BIRCH,122.0,25.0,500.0,325.0,
2005,SAWLOG,MBF,WHITE OAK,148.0,20.0,338.0,49.0,
2005,SAWLOG,MBF,WHITE PINE,184.0,25.0,395.0,901.0,
2005,SAWLOG,MBF,YELLOW BIRCH,190.0,35.0,411.0,264.0,
2005,BOLTWOOD,MBF,ASPEN/POPLAR,38.0,30.0,60.0,5.0,
2005,BOLTWOOD,MBF,CEDAR,53.0,20.0,100.0,14.0,
2005,BOLTWOOD,MBF,SUGAR MAPLE,117.0,20.0,150.0,5.0,
2005,BOLTWOOD,MBF,WHITE BIRCH,129.0,20.0,260.0,99.0,
2005,FIREWOOD,cord,ALL SPECIES,15.0,2.0,67.0,351.0,
2005,PALLETWOOD,MBF,ALL SPECIES,57.0,5.0,150.0,580.0,
2005,PULPWOOD,ton,ASPEN/POPLAR,8.0,1.0,25.0,416.0,
2005,PULPWOOD,ton,CEDAR,13.0,1.0,20.0,76.0,
2005,PULPWOOD,ton,HEMLOCK,7.0,1.0,18.0,465.0,
2005,PULPWOOD,ton,MIXED HARDWOOD,7.0,1.0,25.0,830.0,
2005,PULPWOOD,ton,RED PINE,7.0,1.0,10.0,14.0,
2005,PULPWOOD,ton,SPRUCE & FIR,14.0,1.0,33.0,523.0,
2005,PULPWOOD,ton,WHITE PINE,4.0,1.0,16.0,558.0,
2005,STUDWOOD,ton,ALL SPECIES,25.0,1.0,54.0,479.0,
2005,VENEER,MBF,ASPEN/POPLAR,91.0,30.0,160.0,81.0,
2005,VENEER,MBF,RED OAK,561.0,175.0,1110.0,136.0,
2005,VENEER,MBF,RED/WHITE MAPLE,206.0,120.0,681.0,22.0,
2005,VENEER,MBF,SUGAR MAPLE,536.0,60.0,986.0,72.0,
2005,VENEER,MBF,WHITE BIRCH,387.0,125.0,891.0,70.0,
2005,VENEER,MBF,YELLOW BIRCH,476.0,90.0,943.0,72.0,
2006,BIOMASS,ton,ALL SPECIES,2.15,0.2,6.5,372.0,
2006,SAWLOG,MBF,ASH,148.0,25.0,400.0,314.0,
2006,SAWLOG,MBF,ASPEN/POPLAR,80.0,10.0,158.0,90.0,
2006,SAWLOG,MBF,BEECH,87.0,20.0,450.0,75.0,
2006,SAWLOG,MBF,CEDAR,75.0,15.0,191.0,45.0,
2006,SAWLOG,MBF,HEMLOCK,63.0,20.0,225.0,345.0,
2006,SAWLOG,MBF,RED OAK,249.0,10.0,650.0,342.0,
2006,SAWLOG,MBF,RED PINE,82.0,20.0,350.0,119.0,
2006,SAWLOG,MBF,RED/WHITE MAPLE,121.0,20.0,400.0,414.0,
2006,SAWLOG,MBF,SPRUCE & FIR,140.0,17.0,300.0,542.0,
2006,SAWLOG,MBF,SUGAR MAPLE,247.0,35.0,725.0,333.0,
2006,SAWLOG,MBF,WHITE BIRCH,127.0,10.0,475.0,334.0,
2006,SAWLOG,MBF,WHITE OAK,167.0,20.0,500.0,54.0,
2006,SAWLOG,MBF,WHITE PINE,194.0,14.0,376.0,923.0,
2006,SAWLOG,MBF,YELLOW BIRCH,173.0,25.0,533.0,322.0,
2006,BOLTWOOD,MBF,SUGAR MAPLE,114.0,43.0,300.0,10.0,
2006,BOLTWOOD,MBF,WHITE BIRCH,113.0,20.0,200.0,145.0,
2006,FIREWOOD,cord,ALL SPECIES,18.0,2.0,155.0,446.0,
2006,PALLETWOOD,MBF,ALL SPECIES,59.0,6.0,275.0,667.0,
2006,PULPWOOD,ton,ASPEN/POPLAR,8.0,2.0,33.0,484.0,
2006,PULPWOOD,ton,CEDAR,13.0,1.0,25.0,87.0,
2006,PULPWOOD,ton,HEMLOCK,7.0,0.0,25.0,510.0,
2006,PULPWOOD,ton,MIXED HARDWOOD,7.0,0.0,29.0,835.0,
2006,PULPWOOD,ton,RED PINE,5.0,2.0,14.0,14.0,
2006,PULPWOOD,ton,SPRUCE & FIR,11.0,0.0,56.0,587.0,
2006,PULPWOOD,ton,WHITE PINE,4.0,1.0,21.0,596.0,
2006,STUDWOOD,ton,OTHER SPECIES,13.0,2.0,60.0,213.0,
2006,STUDWOOD,ton,SPRUCE & FIR,32.0,2.0,58.0,292.0,
2006,VENEER,MBF,ASPEN/POPLAR,101.0,35.0,200.0,64.0,
2006,VENEER,MBF,RED OAK,578.0,50.0,1010.0,139.0,
2006,VENEER,MBF,RED/WHITE MAPLE,188.0,50.0,860.0,20.0,
2006,VENEER,MBF,SUGAR MAPLE,385.0,186.0,1200.0,98.0,
2006,VENEER,MBF,WHITE BIRCH,479.0,70.0,975.0,80.0,
2006,VENEER,MBF,YELLOW BIRCH,499.0,202.0,960.0,108.0,
2007,BIOMASS,ton,ALL SPECIES,2.42,0.5,6.0,481.0,
2007,SAWLOG,MBF,ASH,150.0,15.0,360.0,316.0,
2007,SAWLOG,MBF,ASPEN/POPLAR,59.0,8.0,193.0,73.0,
2007,SAWLOG,MBF,BEECH,66.0,25.0,190.0,78.0,
2007,SAWLOG,MBF,CEDAR,70.0,10.0,190.0,60.0,
2007,SAWLOG,MBF,HEMLOCK,71.0,25.0,200.0,332.0,
2007,SAWLOG,MBF,RED OAK,251.0,25.0,610.0,368.0,
2007,SAWLOG,MBF,RED PINE,72.0,21.0,200.0,100.0,
2007,SAWLOG,MBF,RED/WHITE MAPLE,111.0,25.0,311.0,392.0,
